E_true	S1 Mean		S1 Res [%]		S2 Mean			S2 Res [%]	Ec [keVnr]	Ec Res[%]	Eff[%>thr]       E[keVee]
15.5	16.079279	25.840816		981.119477		21.867397	15.525213	15.927155	99.991		 3.031319
16	16.746338	25.321383		1003.861133		21.671431	16.018254	15.689358	99.9934		 3.137246
16.5	17.445047	24.803978		1026.445356		21.433005	16.526712	15.440143	99.9953		 3.246821
17	18.131439	24.29995		1048.530333		21.25482	17.024089	15.212956	99.9977		 3.354336
17.5	18.827168	23.885132		1070.250218		21.082735	17.52321	15.024002	99.9979		 3.462561
18	19.539768	23.388025		1092.495117		20.87013	18.033043	14.781469	99.9989		 3.573393
18.5	20.24801	22.980602		1113.060709		20.706067	18.530339	14.594646	99.9995		 3.681826
19	20.959838	22.585745		1134.323602		20.523762	19.031744	14.402865	99.9995		 3.791443
19.5	21.678276	22.198667		1154.868375		20.384752	19.531782	14.214229	99.9995		 3.901047
20	22.407141	21.836456		1175.42918		20.209175	20.036247	14.046422	99.9998		 4.011913
21	23.854832	21.143556		1215.853839		19.898798	21.032186	13.71506	99.9996		 4.231596
22	25.327444	20.509935		1255.485723		19.594521	22.032736	13.382979	99.9997		 4.45333
23	26.835062	19.895716		1293.57173		19.338347	23.039613	13.0916		99.9969		 4.677498
24	28.336582	19.352706		1331.48871		19.077167	24.037571	12.818317	99.9892		 4.900648
25	29.848062	18.815039		1368.445774		18.861064	25.031662	12.540556	99.9671		 5.12384
26	31.378203	18.286394		1404.693429		18.626389	26.027876	12.270641	99.903		 5.348396
27	32.895709	17.711278		1440.06543		18.418895	27.00903	11.962779	99.7413		 5.570358
28	34.391981	17.124325		1475.607161		18.221671	27.975894	11.632818	99.3558		 5.789847
29	35.864342	16.444588		1509.848346		17.98558	28.920266	11.263838	98.6456		 6.004921
30	37.262534	15.71082		1544.054798		17.840671	29.82222	10.851863	97.2791		 6.210939
31	38.561096	14.913641		1578.981528		17.655288	30.672564	10.382096	95.0371		 6.405672
32	39.767414	14.073754		1612.326426		17.496045	31.464566	9.90504		91.6204		 6.587498
33	40.849113	13.205693		1646.875015		17.339261	32.195271	9.400307	86.8246		 6.755608
34	41.786935	12.361585		1680.906152		17.225646	32.846785	8.920332	80.6065		 6.905803
35	42.631659	11.530422		1715.656192		17.093282	33.452032	8.438076	73.1117		 7.045576
36	43.35359	10.766768		1748.826181		17.005384	33.984761	8.007224	64.5844		 7.168812
37	43.978733	10.035803		1783.498003		16.90305	34.473697	7.599547	55.4067		 7.282085
38	44.510591	9.383136		1818.311787		16.78074	34.914216	7.235418	46.3455		 7.384284
39	44.949673	8.815896		1851.584715		16.694272	35.298887	6.95103		37.3949		 7.473657
40	45.347763	8.297756		1885.368264		16.579548	35.664376	6.679061	29.3918		 7.558665
41	45.683806	7.798168		1919.118215		16.530445	35.997434	6.428669	22.4324		 7.636205
42	45.965451	7.384395		1952.930061		16.415012	36.302374	6.233984	16.6285		 7.707285
43	46.228814	7.009751		1986.296908		16.306744	36.595512	6.054677	11.9503		 7.775675
44	46.467869	6.622131		2017.509743		16.244385	36.865745	5.885614	8.3347		 7.838768
45	46.63656	6.390908		2051.196759		16.253004	37.111253	5.800391	5.6772		 7.896165
46	46.805356	6.084044		2081.720399		16.109202	37.342081	5.679191	3.7834		 7.950145
47	46.958465	5.868849		2114.456566		16.028575	37.57521	5.589741	2.4639		 8.004713
48	47.067188	5.738029		2146.417502		16.082632	37.781061	5.544562	1.5654		 8.05294
49	47.202455	5.400797		2174.676352		15.960596	37.983831	5.46241		0.9585		 8.100454
50	47.291797	5.237542		2207.508425		15.817031	38.184368	5.354646	0.5883		 8.147455
50.5	47.297402	5.338107		2226.253408		15.503572	38.27534	5.340655	0.4611		 8.168805
51	47.368547	5.086026		2234.687475		15.736461	38.351894	5.30796		0.3414		 8.186761
51.5	47.4056		5.061643		2258.675763		15.808539	38.482649	5.4		0.2641		 8.217516
52	47.478237	4.828512		2265.495253		15.543574	38.552093	5.249973	0.1997		 8.233754
52.5	47.481369	5.014348		2291.727664		15.560668	38.677372	5.256874	0.157		 8.263193
53	47.633692	4.509793		2273.378941		15.427689	38.670066	4.974118	0.1225		 8.261343
53.5	47.60167	4.702735		2301.553914		14.770721	38.785548	5.092383	0.0854		 8.28854
54	47.659749	4.407869		2318.071127		16.052186	38.892315	5.387205	0.0679		 8.313781
54.5	47.627209	4.989203		2335.311385		15.01876	38.95698	5.081681	0.0486		 8.328843
55	47.6341		4.685164		2396.398161		14.860451	39.245411	5.064681	0.0378		 8.396689
55.5	47.838554	4.309906		2388.619541		16.197578	39.315487	5.414916	0.0298		 8.413353
56	47.776445	4.148344		2389.864063		14.437529	39.291722	4.712763	0.0232		 8.407427
56.5	47.796496	4.861401		2405.334423		15.182021	39.370857	5.317785	0.0164		 8.426339
57	48.084066	4.125672		2366.641122		16.907855	39.338397	5.063696	0.0106		 8.418562
57.5	47.470274	5.159178		2415.733092		15.055582	39.253233	5.84529		0.0081		 8.398918
58	47.9249		3.60561			2412.933364		15.811952	39.472939	4.770577	0.0065		 8.450096
58.5	47.976111	4.094346		2535.670473		14.075013	40.071849	5.041285	0.0053		 8.591366
59	47.985908	3.905055		2387.872389		14.973345	39.386208	5.03786		0.0023		 8.429766
59.5	48.149528	3.871287		2496.045556		12.527641	39.979185	4.392804	0.0022		 8.569203
60	47.248707	5.67537			2555.924906		12.38142	39.798368	5.281		0.0023		 8.52697
60.5	47.917047	4.361815		2489.929869		10.384075	39.831887	4.24751		0.002		 8.534424
61	46.843553	4.473857		2432.148313		10.254427	39.023602	3.223935	0.0006		 8.343719
61.5	48.592618	2.65399			2516.188075		12.37198	40.306166	4.953077	0.0011		 8.646511
62	45.332981	6.974705		2462.197382		11.471743	38.366553	6.983179	0.0003		 8.190412
62.5	48.428281	1.566743		2439.669196		20.330859	39.864692	6.293398	0.0003		 8.5426
63	45.933844	nan			2413.961493		nan		38.459771	nan		0.0001		 8.210818
63.5	48.302617	4.176356		2515.585842		10.338978	40.134304	2.259076	0.0003		 8.605071
64	45.562099	nan			2835.354812		nan		40.260731	nan		0.0001		 8.634732
64.5	48.696141	nan			3244.663364		nan		43.752333	nan		0.0001		 9.461944
65	999		0			0			nan		nan		nan		0		 nan
65.5	46.356447	nan			2688.026044		nan		39.96024	nan		0.0001		 8.563868
66	48.836054	nan			2401.262214		nan		39.899661	nan		0.0001		 8.549588
66.5	999		0			0			nan		nan		nan		0		 nan
67	999		0			0			nan		nan		nan		0.0000		 NotANum.
